title,client_id,manager_id,status,priority,start_date,end_date,crew_count,filled_positions,working_hours_start,working_hours_end,event_type,venue_address,venue_details,supervisors_required,color,budget,project_type,schedule_type,brand_logo
"Careton Penang",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-10","2025-05-10",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"DIY Mytown Dismantle",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-11","2025-05-11",5,3,"09:00","18:00","dismantle","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Spritzer x Pokemon",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-11","2025-08-30",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"setup",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-15","2025-05-15",5,3,"09:00","18:00","setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Grand Gala Premiere @ TRG",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-16","2025-05-16",5,3,"09:00","18:00","premiere","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Redoxon KL",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-16","2025-08-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Careton Lee Frozen",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-17","2025-05-17",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Hepii",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-17","2025-08-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"So tinge Roving",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-19","2025-06-11",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Ribena",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-21","2025-06-10",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Redoxon Penang",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-24","2025-06-21",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer Meet & Greet",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-24","2025-05-24",5,3,"09:00","18:00","meet & greet","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Tayyib Meeting",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-27","2025-05-27",5,3,"09:00","18:00","meeting","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Jom Heboh",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-06-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"MrDIY Concert",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-05-31",5,3,"09:00","18:00","concert","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mytown Workshop-ee Frozen",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-05-31",5,3,"09:00","18:00","workshop","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Myra",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-06-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Redoxon JB",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-06-28",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer Softlan Air Cuti Team A",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-05-31",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Village Grocer Nilai",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-31","2025-06-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"CP Purple JB",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-02",5,3,"09:00","18:00","instore activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"CP Purple KL",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-02",5,3,"09:00","18:00","instore activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"CP Purple Penang",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-02",5,3,"09:00","18:00","instore activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mytown Workshop",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-07",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer Team A Jom Heboh",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-02",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Telco Roving",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-01","2025-06-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Sime Darby Setup",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-03","2025-06-03",5,3,"09:00","18:00","setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"MAS Training",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-04","2025-06-04",5,3,"09:00","18:00","training","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mytown Sime Darby Diem",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-04","2025-06-04",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"TFP Italian Fair",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-06","2025-06-22",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer Air Cuti Team A",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-07","2025-07-12",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer Air Cuti Team B",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-07","2025-07-19",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Tayyib Ranch",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-07","2025-06-07",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Malaysia Airline",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-11","2025-06-11",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Evay's job",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-12","2025-06-12",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Traveloka @ 1U",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-13","2025-06-13",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Careton PJ",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-14","2025-06-14",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Spritzer Sparkling Lemon",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-14","2025-06-28",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Adwalker",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-28","2025-07-26",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"MrToy Mytown",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-06-28","2025-07-04",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Music Festival",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-07-04","2025-07-04",5,3,"09:00","18:00","festival","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Diy Concert",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-07-11","2025-07-11",5,3,"09:00","18:00","concert","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mr DIY Karnival Penang",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-07-11","2025-07-13",5,3,"09:00","18:00","karnival","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
